,datetime,candidate,votes,state,district,type
97,2020-11-09 21:15:22+00:00,Trump,587,Arizona,,
98,2020-11-09 18:40:02+00:00,Biden,242,Arizona,,
99,2020-11-09 18:40:02+00:00,Trump,169,Arizona,,
100,2020-11-09 18:30:48+00:00,Biden,112,Arizona,,
101,2020-11-09 18:30:48+00:00,Trump,30,Arizona,,
102,2020-11-09 18:16:49+00:00,Biden,56,Arizona,,
103,2020-11-09 18:16:49+00:00,Trump,65,Arizona,,
104,2020-11-09 00:49:30+00:00,Biden,176,Arizona,,
105,2020-11-09 00:49:30+00:00,Trump,143,Arizona,,
106,2020-11-08 23:35:28+00:00,Biden,6554,Arizona,,
107,2020-11-08 23:35:28+00:00,Trump,9704,Arizona,,
108,2020-11-08 23:08:18+00:00,Biden,3753,Arizona,,
109,2020-11-08 23:08:18+00:00,Trump,2999,Arizona,,
110,2020-11-08 19:32:33+00:00,Biden,1895,Arizona,,
111,2020-11-08 19:32:33+00:00,Trump,1100,Arizona,,
112,2020-11-08 17:39:24+00:00,Biden,91,Arizona,,
113,2020-11-08 17:39:24+00:00,Trump,148,Arizona,,
114,2020-11-08 02:21:07+00:00,Biden,1068,Arizona,,
115,2020-11-08 02:21:07+00:00,Trump,1171,Arizona,,
116,2020-11-08 01:03:56+00:00,Biden,2225,Arizona,,
117,2020-11-08 01:03:56+00:00,Trump,4700,Arizona,,
118,2020-11-07 21:31:25+00:00,Biden,842,Arizona,,
119,2020-11-07 21:31:25+00:00,Trump,168,Arizona,,
120,2020-11-07 20:09:53+00:00,Biden,117,Arizona,,
121,2020-11-07 20:09:53+00:00,Trump,176,Arizona,,
122,2020-11-07 16:03:57+00:00,Biden,19513,Arizona,,
123,2020-11-07 16:03:57+00:00,Trump,26992,Arizona,,
124,2020-11-07 16:01:43+00:00,Biden,904,Arizona,,
125,2020-11-07 16:01:43+00:00,Trump,815,Arizona,,
126,2020-11-07 15:45:35+00:00,Biden,2459,Arizona,,
127,2020-11-07 15:45:35+00:00,Trump,4357,Arizona,,
128,2020-11-07 02:02:37+00:00,Biden,31433,Arizona,,
129,2020-11-07 02:02:37+00:00,Trump,38388,Arizona,,
130,2020-11-07 01:28:19+00:00,Biden,288,Arizona,,
131,2020-11-07 01:28:19+00:00,Trump,307,Arizona,,
132,2020-11-07 00:43:16+00:00,Biden,623,Arizona,,
133,2020-11-07 00:43:16+00:00,Trump,2243,Arizona,,
134,2020-11-06 23:43:16+00:00,Biden,742,Arizona,,
135,2020-11-06 23:43:16+00:00,Trump,1357,Arizona,,
136,2020-11-06 23:16:34+00:00,Biden,68,Arizona,,
137,2020-11-06 23:16:34+00:00,Trump,134,Arizona,,
138,2020-11-06 23:13:45+00:00,Biden,3352,Arizona,,
139,2020-11-06 23:13:45+00:00,Trump,3640,Arizona,,
140,2020-11-06 23:07:08+00:00,Biden,2361,Arizona,,
141,2020-11-06 23:07:08+00:00,Trump,2337,Arizona,,
142,2020-11-06 22:24:11+00:00,Biden,317,Arizona,,
143,2020-11-06 22:24:11+00:00,Trump,686,Arizona,,
144,2020-11-06 20:30:39+00:00,Biden,2683,Arizona,,
145,2020-11-06 20:30:39+00:00,Trump,3868,Arizona,,
146,2020-11-06 19:53:53+00:00,Biden,359,Arizona,,
147,2020-11-06 19:53:53+00:00,Trump,707,Arizona,,
148,2020-11-06 19:25:09+00:00,Biden,694,Arizona,,
149,2020-11-06 19:25:09+00:00,Trump,3171,Arizona,,
150,2020-11-06 16:13:06+00:00,Biden,800,Arizona,,
151,2020-11-06 16:13:06+00:00,Trump,590,Arizona,,
152,2020-11-06 16:03:11+00:00,Biden,28285,Arizona,,
153,2020-11-06 16:03:11+00:00,Trump,31768,Arizona,,
154,2020-11-06 05:33:02+00:00,Biden,2953,Arizona,,
155,2020-11-06 05:33:02+00:00,Trump,2568,Arizona,,
156,2020-11-06 03:37:12+00:00,Biden,790,Arizona,,
157,2020-11-06 03:37:12+00:00,Trump,380,Arizona,,
158,2020-11-06 02:07:55+00:00,Biden,31700,Arizona,,
159,2020-11-06 02:07:55+00:00,Trump,42276,Arizona,,
160,2020-11-06 01:33:55+00:00,Biden,477,Arizona,,
161,2020-11-06 01:33:55+00:00,Trump,1488,Arizona,,
162,2020-11-06 01:15:19+00:00,Biden,1879,Arizona,,
163,2020-11-06 01:15:19+00:00,Trump,582,Arizona,,
164,2020-11-06 01:04:29+00:00,Biden,13045,Arizona,,
165,2020-11-06 01:04:29+00:00,Trump,14484,Arizona,,
166,2020-11-06 00:55:18+00:00,Biden,2498,Arizona,,
167,2020-11-06 00:55:18+00:00,Trump,3465,Arizona,,
168,2020-11-06 00:46:52+00:00,Biden,1324,Arizona,,
169,2020-11-06 00:46:52+00:00,Trump,3651,Arizona,,
170,2020-11-06 00:35:53+00:00,Biden,1716,Arizona,,
171,2020-11-06 00:35:53+00:00,Trump,5615,Arizona,,
172,2020-11-05 23:07:42+00:00,Biden,4656,Arizona,,
173,2020-11-05 23:07:42+00:00,Trump,7383,Arizona,,
174,2020-11-05 20:55:45+00:00,Biden,464,Arizona,,
